"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.932839167E-1,5.421111506E-1,1.765844509E-1,-3.390192246E-1,6.633254123E-1
6.032249167E-1,3.975355276E-1,3.527191047E-1,-4.394819909E-1,6.896301059E-1
6.131669167E-1,5.376146418E-1,3.243893449E-1,-4.769743377E-1,7.885191621E-1
6.231089167E-1,7.933089969E-1,1.720853108E-1,-4.735496235E-1,9.397881488E-1
6.330499167E-1,7.114687353E-1,1.213244623E-1,-3.915979725E-1,8.211311458E-1
6.429919167E-1,5.458036673E-1,1.785374209E-1,-1.855274749E-1,6.034879434E-1
6.529339167E-1,4.726181620E-1,2.624815106E-2,6.157878220E-2,4.773351432E-1
6.628759167E-1,2.730518147E-1,-2.222278163E-1,-4.091466361E-1,5.397624160E-1
6.728169167E-1,-1.404708776E-1,-2.905582322E-1,-1.630886679E0,1.662512410E0
6.827589167E-1,-3.531420046E-1,-3.195034115E-1,-2.862835960E0,2.902175294E0
6.927009167E-1,-1.461882851E-1,-5.103002509E-1,-2.491498590E0,2.547418808E0
7.026419167E-1,-8.022584528E-2,-4.011634326E-1,-1.635719402E0,1.686103867E0
7.125839167E-1,2.823211133E-2,2.809338614E-2,-1.121408839E0,1.122115891E0
7.225259167E-1,6.605552745E-1,3.625536829E-1,-8.373978800E-1,1.126505061E0
7.324669167E-1,1.681604550E0,4.486246973E-1,-9.739017141E-1,1.994377730E0
7.424089167E-1,2.447559687E0,6.632328607E-2,-1.168432732E0,2.712965582E0
7.523509167E-1,2.732537191E0,-6.726863466E-1,-5.976468354E-1,2.876881673E0
7.622919167E-1,2.261204539E0,-1.084699361E0,-5.011186606E-1,2.557486771E0
7.722339167E-1,1.771053209E0,-1.218972117E0,-1.058882223E0,2.396613037E0
7.821759167E-1,1.595406066E0,-9.607356117E-1,-1.686335240E0,2.512381335E0
7.921169167E-1,1.663585770E0,-1.089595088E0,-3.222733253E0,3.786917571E0
8.020589167E-1,2.148200957E0,-1.942477053E0,-4.643834698E0,5.472950315E0
8.120009167E-1,2.150962889E0,-2.565932475E0,-4.761443254E0,5.820824055E0
8.219419167E-1,1.091745914E0,-2.372263045E0,-3.401746345E0,4.288521807E0
8.318839167E-1,3.247549421E-1,-1.514019257E0,-2.310185788E0,2.781128989E0
8.418259167E-1,1.310299340E0,-4.224449221E-1,-2.362303775E0,2.734195164E0
8.517669167E-1,2.262739726E0,2.411048211E-2,-2.550982899E0,3.409997967E0
8.617089167E-1,2.655802133E0,2.615432883E-1,-2.906296560E0,3.945662119E0
8.716509167E-1,3.248296402E0,-5.269689817E-2,-1.764512513E0,3.696986731E0
8.815929167E-1,3.413393998E0,-1.236211024E-1,-4.108914453E-1,3.440257627E0
8.915339167E-1,3.055429210E0,-2.629302844E-1,6.662124556E-1,3.138250950E0
9.014759167E-1,2.957948524E0,-1.117547630E0,6.249188340E-1,3.223180994E0
9.114179167E-1,1.196732671E0,-1.837438110E0,5.659321225E-1,2.264647226E0
9.213589167E-1,-2.645520097E-1,-1.978391090E0,2.032135481E-1,2.006318723E0
9.313009167E-1,4.863743216E-1,-2.067551627E0,-4.628100425E-1,2.173826775E0
9.412429167E-1,2.495033231E0,-1.706656507E0,-1.028324674E0,3.193010945E0
9.511839167E-1,4.502227998E0,-1.135117782E0,-1.571559659E0,4.901871999E0
9.611259167E-1,4.651205113E0,-1.682526802E0,-1.253245425E0,5.102472885E0
9.710679167E-1,2.486336668E0,-3.012931062E0,1.915987558E0,4.350934604E0
9.810089167E-1,-2.460325329E0,-2.893768315E0,2.341359633E0,4.461957050E0
9.909509167E-1,-1.263837072E0,-2.648172394E0,2.884314537E-1,2.948439227E0
1.000892917E0,7.716950566E-1,-2.778688095E0,-5.747789598E-1,2.940576753E0
1.010833917E0,1.295596808E-1,-2.721729198E0,-3.151298404E-2,2.724993322E0
1.020775917E0,-1.471620803E0,-1.838213451E0,1.987784350E-1,2.363093173E0
1.030717917E0,-2.650530576E0,-1.230190146E0,1.441332811E-1,2.925654548E0
1.040658917E0,-1.564260580E0,-1.066323243E0,-5.341326249E-1,1.967041962E0
1.050600917E0,7.372192883E-1,-6.077666116E-1,-9.370221555E-1,1.338238788E0
1.060542917E0,1.848859184E0,4.772003326E-1,-1.201492304E0,2.256010682E0
1.070484917E0,2.551723741E0,1.178941786E0,-1.678169603E0,3.273751824E0
1.080425917E0,2.793392673E0,6.707108648E-1,-6.051054268E0,6.698369461E0
1.090367917E0,1.460039808E0,-1.082597068E0,-5.239371858E0,5.545696540E0
1.100309917E0,4.827174729E-1,-2.249023327E0,-2.129462385E0,3.134602389E0
1.110250917E0,1.032962685E0,-2.520214558E0,-2.393026800E0,3.625613133E0
1.120192917E0,2.308153880E0,-2.217929296E0,-1.804226802E0,3.674509362E0
1.130134917E0,2.037159408E0,-2.192495662E0,-1.554211555E0,3.372332908E0
1.140075917E0,9.015073371E-1,-2.348705198E0,-1.049398331E0,2.725870218E0
1.150017917E0,-1.351834159E0,-2.746395969E0,-3.241287053E-1,3.078182228E0
1.159959917E0,-2.247705950E0,-3.152542691E0,-4.745462814E-1,3.900756546E0
1.169900917E0,-3.194180129E0,-2.957933321E0,-7.242530876E-1,4.413241299E0
