"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.156807917E-1,-3.019247809E-1,-6.837412387E-2,9.720235884E-1,1.020129134E0
6.256227917E-1,-5.728552258E-1,-3.196120235E-1,8.602996695E-1,1.081864352E0
6.355637917E-1,-1.898222548E-1,-2.151113163E-1,1.649552161E-1,3.309313979E-1
6.455057917E-1,6.375754246E-1,9.112827122E-2,-4.950241077E-1,8.123149950E-1
6.554477917E-1,1.271085865E0,1.220157494E-1,-4.338435209E-1,1.348616817E0
6.653887917E-1,1.024921302E0,2.299452639E-1,-3.428725398E-1,1.104943473E0
6.753307917E-1,7.695470819E-1,3.087692392E-1,-1.444905460E-2,8.293068970E-1
6.852727917E-1,1.089445327E0,4.173187047E-2,2.736379981E-1,1.124059795E0
6.952147917E-1,1.185717978E0,2.643146127E-2,-5.262143254E-2,1.187179330E0
7.051557917E-1,1.090642836E0,1.745629223E-1,-1.115506659E0,1.569818180E0
7.150977917E-1,5.653088093E-1,-4.216588005E-2,-1.485507941E0,1.589995551E0
7.250397917E-1,1.308232641E-1,-3.216829611E-1,-1.456764198E0,1.497583581E0
7.349807917E-1,4.984154928E-1,-1.054372558E0,-1.916099825E0,2.243113469E0
7.449227917E-1,1.117942609E0,-1.551297157E0,-1.883427923E0,2.683955902E0
7.548647917E-1,1.582772280E0,-6.933303800E-1,-2.736233216E0,3.236177887E0
7.648057917E-1,1.845464290E0,-4.486206043E-1,-2.953347934E0,3.511305016E0
7.747477917E-1,1.723360102E0,-4.567764468E-1,-2.926366543E0,3.426694603E0
7.846897917E-1,1.699804886E0,-1.129430926E0,-2.722932554E0,3.402838898E0
7.946317917E-1,1.806713623E0,-1.549111321E0,-2.807599068E0,3.680566876E0
8.045727917E-1,1.936430009E0,-1.431038496E0,-2.942549881E0,3.802135211E0
8.145147917E-1,2.397518046E0,-1.328667490E0,-2.223544670E0,3.529532686E0
8.244567917E-1,3.194546750E0,-1.724720018E0,-6.860736930E-1,3.694656302E0
8.343977917E-1,3.381706182E0,-1.928296532E0,1.825500727E-1,3.897125703E0
8.443397917E-1,3.425268524E0,-1.337138790E0,-4.781946516E-1,3.707974478E0
8.542817917E-1,2.906915195E0,-9.963607232E-1,-9.556595707E-1,3.218101281E0
8.642227917E-1,2.694482342E0,-1.088196215E0,-9.237975079E-1,3.049230711E0
8.741647917E-1,2.190884462E0,-1.981971779E0,-7.745987839E-1,3.054208594E0
8.841067917E-1,1.078528283E0,-2.810280601E0,-1.158563801E0,3.225394610E0
8.940487917E-1,1.711615677E0,-2.624062570E0,-2.289561489E0,3.880389723E0
9.039897917E-1,2.685779931E0,-2.327216096E0,-2.679460260E0,4.450714086E0
9.139317917E-1,3.278931427E0,-2.200171448E0,-2.638963614E0,4.749344656E0
9.238737917E-1,3.893143424E0,-1.637189100E0,-2.850978976E0,5.095589759E0
9.338147917E-1,4.043853069E0,-1.529417022E0,-1.767085873E0,4.670594882E0
9.437567917E-1,2.493660305E0,-2.038757306E0,2.556823683E-1,3.231137036E0
9.536987917E-1,4.036391437E-1,-1.947911017E0,9.147360778E-1,2.189525972E0
9.636407917E-1,1.505242878E-1,-2.046947209E0,1.909055684E0,2.803059764E0
9.735817917E-1,-2.685938390E0,-1.660778230E0,2.697634576E0,4.153273609E0
9.835237917E-1,-3.502640051E0,-5.405395652E-1,1.565010778E0,3.874264973E0
9.934657917E-1,-2.602055404E0,4.045089170E-1,3.008790064E-1,2.650442976E0
1.003406792E0,-1.809246052E0,7.423597218E-1,-2.166890413E-1,1.967593295E0
1.013348792E0,2.098881447E-1,6.507774143E-1,-5.828276521E-1,8.984722301E-1
1.023290792E0,2.822658572E0,6.977701709E-1,-1.101661037E0,3.109331385E0
1.033231792E0,3.679159305E0,4.435421513E-1,-1.450373191E0,3.979513190E0
1.043173792E0,3.707365104E0,-5.376105487E-1,-1.736411380E0,4.129007822E0
1.053115792E0,3.193009517E0,-1.357797442E0,-2.048470262E0,4.029287044E0
1.063057792E0,1.374139532E0,-1.720051309E0,-1.588058163E0,2.714546866E0
1.072998792E0,-4.138746947E-1,-2.096080485E0,-3.923992165E0,4.467948094E0
1.082940792E0,-1.270817478E0,-2.670978289E0,-6.798329598E0,7.413931980E0
1.092882792E0,-9.024692041E-1,-2.823091850E0,-3.340832976E0,4.466034396E0
1.102823792E0,1.428428006E-1,-3.091533720E0,-3.296449100E0,4.521566264E0
1.112765792E0,5.899366969E-1,-2.322909621E0,-2.320465778E0,3.335940023E0
1.122707792E0,6.813070428E-1,-1.771379776E0,-9.974689168E-1,2.144040540E0
1.132648792E0,2.674908203E-1,-2.517194763E0,-7.944442338E-1,2.653104306E0
1.142590792E0,-7.923526847E-1,-2.454464372E0,-5.155028111E-1,2.630201756E0
1.152532792E0,-3.315527980E0,-2.000744703E0,5.955126017E-1,3.917951048E0
1.162474792E0,-4.086622528E0,-2.320595001E0,-2.391046348E-1,4.705615355E0
1.172415792E0,-4.002241943E0,-2.361310918E0,-8.868203008E-1,4.730769501E0
1.182357792E0,-4.450141001E0,-1.996154639E0,-7.918635651E-1,4.941197849E0
1.192299792E0,-4.270863031E0,-1.953233737E0,-3.756906223E-1,4.711320038E0
1.202240792E0,-3.723749587E0,-1.878146133E0,-3.847672552E-2,4.170758245E0
1.212182792E0,-3.808859904E0,-1.937564954E0,1.018043514E0,4.392947110E0
1.222124792E0,-3.929898437E0,-2.426406215E0,2.034357715E0,5.046797020E0
1.232065792E0,-3.085497347E0,-2.438005337E0,2.061946048E0,4.440246098E0
1.242007792E0,-3.467875430E0,-2.412698003E0,2.110950685E0,4.722645916E0
1.251949792E0,-3.755243275E0,-2.366542422E0,1.080226606E0,4.568289024E0
1.261891792E0,-3.059558514E0,-2.137674215E0,-1.733050400E-1,3.736386488E0
1.271832792E0,-3.197275645E0,-1.823013906E0,-1.282291761E0,3.897463715E0
1.281774417E0,-4.450600592E0,-2.459846442E0,-1.493335608E0,5.299881262E0
1.291716417E0,-4.913450981E0,-3.181625572E0,-9.954191753E-1,5.937642727E0
1.301657417E0,-5.158227122E0,-3.232840165E0,-8.346818483E-1,6.144530606E0
1.311599417E0,-5.281349604E0,-3.112861732E0,-7.830825090E-1,6.180273458E0
1.321541417E0,-5.147942455E0,-3.001917247E0,-9.188455009E-1,6.029684546E0
1.331482417E0,-5.084557468E0,-2.573159634E0,-4.305791666E-1,5.714829268E0
1.341424417E0,-4.885763245E0,-1.449739938E0,1.164512904E0,5.227668570E0
