"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.817922500E-1,-4.521710336E-2,-5.420836687E-2,4.003822446E-2,8.115536269E-2
5.917342500E-1,-7.949271407E-2,1.232622296E-2,1.921570480E-2,8.270592889E-2
6.016762500E-1,-9.606704883E-2,7.408071399E-2,-7.386787534E-3,1.215376266E-1
6.116182500E-1,-7.329590801E-2,1.095791602E-1,4.908737540E-3,1.319241380E-1
6.215602500E-1,-2.383697860E-2,1.354601061E-1,-2.470039308E-2,1.397417308E-1
6.315022500E-1,1.268158749E-2,1.109877545E-1,-5.759215057E-2,1.256819801E-1
6.414442500E-1,2.170899410E-2,9.888957292E-2,-1.059994948E-1,1.465821304E-1
6.513862500E-1,9.900468998E-3,6.749148667E-2,-1.231341755E-1,1.407662788E-1
6.613282500E-1,7.335222401E-3,3.890912712E-2,-1.027203763E-1,1.100872443E-1
6.712702500E-1,3.652525384E-2,1.226453483E-3,-5.549124599E-2,6.644453881E-2
6.812122500E-1,9.441221371E-2,-5.810232013E-2,-6.733653545E-3,1.110625400E-1
6.911542500E-1,1.049669131E-1,-9.926934958E-2,2.932144761E-2,1.474184652E-1
7.010962500E-1,3.390504342E-2,-9.738069892E-2,8.070385516E-2,1.309414553E-1
7.110372500E-1,1.408429798E-2,-5.850548565E-2,9.485762537E-2,1.123353390E-1
7.209792500E-1,5.267537311E-3,-3.115630388E-2,7.786035419E-2,8.402795353E-2
7.309212500E-1,-1.140510377E-2,-1.408623487E-2,3.956109166E-2,4.351526603E-2
7.408632500E-1,-5.731258057E-3,-3.008684814E-3,9.347943664E-3,1.137029261E-2
7.508052500E-1,1.620212294E-2,1.447156638E-2,-3.322563350E-2,3.969732665E-2
7.607472500E-1,1.226270758E-3,1.851462364E-2,-4.267999649E-2,4.653898504E-2
7.706892500E-1,-2.263661832E-2,5.582190603E-2,-5.129060626E-2,7.911528280E-2
7.806312500E-1,-3.651228033E-2,8.423966646E-2,-6.510406852E-2,1.125522446E-1
7.905732083E-1,-1.389035314E-2,8.247205317E-2,-6.995959640E-2,1.090363545E-1
8.005152083E-1,2.625253648E-2,6.661118835E-2,-9.968099356E-2,1.227295668E-1
8.104572083E-1,5.825127795E-2,3.110338658E-2,-1.132746005E-1,1.311173793E-1
8.203992083E-1,6.889518388E-2,-3.432315588E-4,-6.615305901E-2,9.551382824E-2
8.303412083E-1,6.835855566E-2,-2.805757195E-2,-7.561034560E-3,7.427845394E-2
8.402832083E-1,6.360571951E-2,-2.801576436E-2,2.900452852E-2,7.531157468E-2
8.502252083E-1,7.356762081E-2,-5.797514319E-3,4.333956242E-2,8.558109414E-2
8.601672083E-1,8.491143845E-2,3.215383887E-3,-5.155490041E-3,8.512855074E-2
8.701092083E-1,1.568676397E-2,7.788198888E-3,-6.244475484E-2,6.485428292E-2
8.800512083E-1,-3.872596309E-2,4.301796556E-2,-5.431537092E-2,7.937509115E-2
8.899932083E-1,-7.585976589E-2,5.572981238E-2,-2.376893163E-2,9.708490192E-2
8.999352083E-1,-1.203734492E-1,6.465675652E-2,1.078226566E-2,1.370639292E-1
9.098772083E-1,-1.046922036E-1,4.633947641E-2,6.712369680E-2,1.327154672E-1
9.198192083E-1,-4.937776275E-2,4.523406029E-3,9.534411371E-2,1.074668538E-1
9.297612083E-1,2.722595170E-2,-8.513838351E-3,4.313841820E-2,5.171712496E-2
9.397032083E-1,8.693541560E-2,-3.313850999E-2,-2.437996566E-2,9.617853220E-2
9.496452083E-1,1.023463737E-1,-4.182718009E-2,-9.653869987E-2,1.467787920E-1
9.595872083E-1,7.439602509E-2,-4.173187047E-2,-1.337620747E-1,1.586461793E-1
9.695292083E-1,-1.995457359E-2,-5.814646661E-2,-9.733918369E-2,1.151265098E-1
