"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.697889075496985E9,"2023-10-21 19:51:15.497 UTC+08:00"
"PAUSE",8.190290912502678E1,1.697889157400004E9,"2023-10-21 19:52:37.400 UTC+08:00"
