min_x,max_x,mean_x,peak_to_peak_x,min_y,max_y,mean_y,peak_to_peak_y,min_z,max_z,mean_z,peak_to_peak_z,label
-16.73276536,35.6391162,0.278303978,52.37188156,-51.59974621,13.52325559,-0.852707621,65.1230018,-16.73276536,35.6391162,0.278303978,52.37188156,1
-15.36660202,26.42445631,0.34636578,41.79105833,-42.1549633,13.67424941,1.215697102,55.82921271,-15.36660202,26.42445631,0.34636578,41.79105833,1
-22.51862852,44.39860544,0.588790286,66.91723396,-70.5266313,12.48232256,-0.2497019,83.00895386,-22.51862852,44.39860544,0.588790286,66.91723396,1
-8.205231664,37.5564112,0.25814893,45.76164286,-61.52126431,12.29807563,-0.052009302,73.81933994,-8.205231664,37.5564112,0.25814893,45.76164286,1
-8.835583731,30.90570859,0.284328668,39.74129232,-69.31362875,11.87348825,0.135302225,81.187117,-8.835583731,30.90570859,0.284328668,39.74129232,1
-22.46548201,32.90802444,0.141631857,55.37350645,-49.23943575,11.74084767,0.09346346,60.98028342,-22.46548201,32.90802444,0.141631857,55.37350645,1
-19.46514936,44.93505707,0.251308274,64.40020643,-69.12432866,12.23841649,0.182272193,81.36274515,-19.46514936,44.93505707,0.251308274,64.40020643,1
-14.39012168,31.48515597,0.335151747,45.87527765,-56.91540786,11.9851689,-0.720864545,68.90057676,-14.39012168,31.48515597,0.335151747,45.87527765,1
-19.16221915,47.79030393,0.672803225,66.95252308,-63.31873582,12.05975598,0.844641512,75.3784918,-19.16221915,47.79030393,0.672803225,66.95252308,1
-19.07936995,47.62578199,0.459270869,66.70515194,-68.41238571,12.16202846,0.043468908,80.57441417,-19.07936995,47.62578199,0.459270869,66.70515194,1
-7.457675083,38.85517837,0.420829723,46.31285345,-64.82855707,11.88916931,0.245418355,76.71772638,-7.457675083,38.85517837,0.420829723,46.31285345,1
-25.22597357,44.13071408,0.440338439,69.35668765,-71.30139673,13.26097171,0.261296661,84.56236844,-25.22597357,44.13071408,0.440338439,69.35668765,1
-22.08365649,38.51193511,0.490700524,60.5955916,-68.99518471,13.03203919,0.030367738,82.0272239,-22.08365649,38.51193511,0.490700524,60.5955916,1
-21.00280335,50.37159704,0.61257676,71.37440039,-64.94994527,12.67839842,-0.714999918,77.62834369,-21.00280335,50.37159704,0.61257676,71.37440039,1
-20.58766507,36.21027457,0.558454228,56.79793964,-70.36226373,12.24430931,0.565985419,82.60657304,-20.58766507,36.21027457,0.558454228,56.79793964,1
-17.94226426,44.55157795,0.845036795,62.49384221,-69.78302452,11.6824375,0.355386477,81.46546202,-17.94226426,44.55157795,0.845036795,62.49384221,1
